propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,parkingSpace,newDevelopmentFinished
94450705,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/6a/24/889189476.jpg,C.R. 603 527 250,20,bj,175000.0,flat,sale,53.0,True,2,1,Calle de La Bañeza,Madrid,Madrid,Fuencarral,es,Pilar,40.4763609,-3.7141709,False,https://www.idealista.com/inmueble/94450705/,6959,False,good,False,True,3302.0,{'typology': 'flat'},"{'subtitle': 'Pilar, Madrid', 'title': 'Piso en Calle de La Bañeza'}",True,False,False,False,False,,
94451073,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/78/43/889200377.jpg,IS-01645,24,4,129500.0,flat,sale,60.0,True,3,1,barrio San Fermín,Madrid,Madrid,Usera,es,San Fermín,40.3784889,-3.6889935,False,https://www.idealista.com/inmueble/94451073/,4135,False,renew,False,True,2158.0,{'typology': 'flat'},"{'subtitle': 'San Fermín, Madrid', 'title': 'Piso'}",False,False,False,False,False,,
94451215,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/21/b1/889203595.jpg,G261,25,1,330000.0,flat,sale,100.0,True,3,2,Calle de Aquitania,Madrid,Madrid,San Blas,es,Arcos,40.4225718,-3.6129625,False,https://www.idealista.com/inmueble/94451215/,7453,True,good,False,True,3300.0,{'typology': 'flat'},"{'subtitle': 'Arcos, Madrid', 'title': 'Piso en Calle de Aquitania'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451158,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/07/6a/889202346.jpg,MN-3545,16,1,200000.0,flat,sale,37.0,True,1,1,Calle MESÓN DE PAREDES,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4082262,-3.7056696,False,https://www.idealista.com/inmueble/94451158/,842,True,good,False,False,5405.0,{'typology': 'flat'},"{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Piso en Calle MESÓN DE PAREDES'}",False,False,False,False,False,,
94450570,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8e/58/c8/889202329.jpg,Angosta de los Mancebos,26,3,128500.0,flat,sale,24.0,False,1,1,Calle de Angosta de los Mancebos,Madrid,Madrid,Centro,es,Palacio,40.4140127,-3.7137467,False,https://www.idealista.com/inmueble/94450570/,1132,True,good,False,False,5354.0,{'typology': 'flat'},"{'subtitle': 'Palacio, Madrid', 'title': 'Piso en Calle de Angosta de los Mancebos'}",True,False,False,False,False,,
94450827,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/f2/29/889198270.jpg,Atico Metro San Fermín,77,7,480000.0,penthouse,sale,147.0,True,4,2,Alerce,Madrid,Madrid,Usera,es,12 de Octubre-Orcasur,40.3669269,-3.6936959,False,https://www.idealista.com/inmueble/94450827/,5336,True,good,False,True,3265.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': '12 de Octubre-Orcasur, Madrid', 'title': 'Ático en Alerce'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94450329,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/48/39/889180981.jpg,QV2001909,41,,880000.0,chalet,sale,200.0,False,4,4,barrio Concepción,Madrid,Madrid,Ciudad Lineal,es,Concepción,40.443454,-3.6430664,False,https://www.idealista.com/inmueble/94450329/,5814,True,good,False,,4400.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Concepción, Madrid', 'title': 'Chalet pareado'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451156,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/e7/69/889202150.jpg,vm2-TORREMOLINOS,22,bj,115000.0,flat,sale,54.0,True,3,1,TORREMOLINOS,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3839233,-3.639623,False,https://www.idealista.com/inmueble/94451156/,6177,True,good,False,False,2130.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en TORREMOLINOS'}",False,False,False,False,False,,
94451026,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/16/95/889199001.jpg,VM2-Velezmalaga,23,4,95000.0,flat,sale,61.0,True,2,1,VELEZ MALAGA,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3836076,-3.6417631,False,https://www.idealista.com/inmueble/94451026/,6046,True,good,False,False,1557.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en VELEZ MALAGA'}",True,False,False,False,False,,
94450994,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/5b/2e/889196774.jpg,1937/67,30,7,445000.0,penthouse,sale,114.0,True,4,2,Avenida de la Ciudad de Barcelona,Madrid,Madrid,Retiro,es,Pacífico,40.4027869,-3.6774627,False,https://www.idealista.com/inmueble/94450994/,2347,False,renew,False,True,3904.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Pacífico, Madrid', 'title': 'Ático en Avenida de la Ciudad de Barcelona'}",True,False,True,False,False,,
